"date","close","volume","open","high","low"
"2017/05/05","150.2400","17104730.0000","151.4500","151.6300","149.7900"
"2017/05/04","150.8500","36185180.0000","150.1700","151.5200","148.7200"
"2017/05/03","151.8000","28301550.0000","153.6000","153.6000","151.3400"
"2017/05/02","152.7800","21617190.0000","153.3400","153.4400","151.6600"
"2017/05/01","152.4600","25170200.0000","151.7400","152.5700","151.4200"
"2017/04/28","150.2500","30607510.0000","149.5000","151.5300","149.0700"
"2017/04/27","147.7000","11072600.0000","146.6700","147.7500","146.1400"
"2017/04/26","146.5600","12388100.0000","147.0900","147.5900","146.0900"
"2017/04/25","146.4900","17718030.0000","145.7900","147.1500","145.7898"
"2017/04/24","145.4700","14397480.0000","144.9600","145.6738","144.3400"
"2017/04/21","143.6800","12172640.0000","143.9000","144.1700","142.2700"
"2017/04/20","143.8000","15948700.0000","142.9500","144.2500","142.6890"
"2017/04/19","142.2700","15544500.0000","141.3500","143.0400","141.2700"
"2017/04/18","140.9600","14795020.0000","141.2700","141.9050","140.6100"
"2017/04/17","141.4200","11488510.0000","139.7600","141.5500","139.7500"
"2017/04/13","139.3900","10939950.0000","139.6200","140.5800","139.3300"
"2017/04/12","139.5800","11600930.0000","139.7200","140.4000","139.4400"
"2017/04/11","139.9200","16627940.0000","140.8000","141.0299","138.8100"
"2017/04/10","141.0400","9033921.0000","141.0000","141.4300","140.6300"
"2017/04/07","140.7800","11811450.0000","141.2000","141.5500","140.2400"
"2017/04/06","141.1700","15089610.0000","142.1100","142.2200","140.9100"
"2017/04/05","141.8500","17132150.0000","142.2600","143.4400","141.2900"
"2017/04/04","141.7300","11934110.0000","141.8600","142.0900","141.2700"
"2017/04/03","142.2800","13552550.0000","141.9300","142.4700","140.8200"
"2017/03/31","142.0500","11366390.0000","142.3100","142.6300","141.8900"
"2017/03/30","142.4100","12393610.0000","142.4000","142.9500","141.8500"
"2017/03/29","142.6500","16504590.0000","141.9900","142.8600","141.4300"
"2017/03/28","141.7600","14660670.0000","140.3600","141.9500","140.0100"
"2017/03/27","140.3200","12791820.0000","139.0500","140.6500","138.7700"
"2017/03/24","140.3400","16636900.0000","140.0800","141.0244","139.7600"
"2017/03/23","139.5300","12992700.0000","139.4800","140.3900","139.0900"
"2017/03/22","139.5900","17020610.0000","137.9300","139.7900","137.6000"
"2017/03/21","138.5100","29855980.0000","141.1500","142.3082","138.4000"
"2017/03/20","139.9400","12002150.0000","139.7100","140.1900","139.2500"
"2017/03/17","139.8400","20487730.0000","140.3400","140.3400","139.7000"
"2017/03/16","139.9900","13604260.0000","140.2000","140.2500","139.7300"
"2017/03/15","139.7200","19315340.0000","139.2900","140.1000","138.4900"
"2017/03/14","139.3200","12935370.0000","139.4600","139.4600","138.5200"
"2017/03/13","139.6000","10949000.0000","138.7100","139.6800","138.6729"
"2017/03/10","138.7900","16299220.0000","138.9100","139.4900","138.2200"
"2017/03/09","138.2400","15523900.0000","137.7200","138.5700","137.4000"
"2017/03/08","137.7200","10174840.0000","137.1500","137.9900","137.0516"
"2017/03/07","137.3000","13517880.0000","137.0300","138.3700","136.9900"
"2017/03/06","137.4200","12562040.0000","136.8800","137.8300","136.5100"
"2017/03/03","137.1700","11154380.0000","136.6300","137.3300","136.0800"
"2017/03/02","136.7600","12278560.0000","137.0900","137.8200","136.3100"
"2017/03/01","137.4200","16241330.0000","136.4700","137.4800","136.3000"
"2017/02/28","135.5400","16096310.0000","136.7900","136.8050","134.7500"
"2017/02/27","136.4100","14300970.0000","135.2600","137.1846","135.0200"
"2017/02/24","135.4400","12617180.0000","134.1600","135.6200","134.1600"
"2017/02/23","135.3600","18408460.0000","135.8900","136.1200","134.3300"
"2017/02/22","136.1200","27331930.0000","133.6000","136.7900","133.4600"
"2017/02/21","133.7200","14735860.0000","133.5000","133.9100","132.9000"
"2017/02/17","133.5300","12265480.0000","133.5000","134.0912","133.1700"
"2017/02/16","133.8400","12816260.0000","133.0700","133.8700","133.0220"
"2017/02/15","133.4400","13215470.0000","133.4500","133.7000","132.6600"
"2017/02/14","133.8500","14346090.0000","134.1000","134.2300","132.5500"
"2017/02/13","134.0500","13511640.0000","134.6975","134.6975","133.7000"
"2017/02/10","134.1900","15050270.0000","134.1000","134.9400","133.6800"
"2017/02/09","134.1400","16454060.0000","134.4900","134.5000","133.3100"
"2017/02/08","134.2000","22370760.0000","132.6000","134.4400","132.4400"
"2017/02/07","131.8400","14585030.0000","132.2400","133.0000","131.6610"
"2017/02/06","132.0600","17015610.0000","130.9800","132.0600","130.3000"
"2017/02/03","130.9800","24776070.0000","131.2400","132.8500","130.7600"
"2017/02/02","130.8400","54281800.0000","133.2200","135.4900","130.4000"
"2017/02/01","133.2300","47329480.0000","132.2500","133.4900","130.6800"
"2017/01/31","130.3200","19642550.0000","130.1700","130.6600","129.5157"
"2017/01/30","130.9800","18919750.0000","131.5800","131.5800","129.6000"
"2017/01/27","132.1800","19505970.0000","132.6800","132.9500","131.0800"
"2017/01/26","132.7800","19964800.0000","131.6300","133.1400","131.4401"
"2017/01/25","131.4800","18745640.0000","130.0000","131.7400","129.7700"
"2017/01/24","129.3700","15140910.0000","129.3800","129.9000","128.3800"
"2017/01/23","128.9300","16566300.0000","127.3100","129.2500","126.9500"
"2017/01/20","127.0400","19068380.0000","128.1000","128.4800","126.7800"
"2017/01/19","127.5500","12171270.0000","128.2300","128.3500","127.4500"
"2017/01/18","127.9200","13107440.0000","128.4100","128.4300","126.8400"
"2017/01/17","127.8700","15279990.0000","128.0400","128.3400","127.4000"
"2017/01/13","128.3400","24857410.0000","127.4900","129.2700","127.3700"
"2017/01/12","126.6200","18596580.0000","125.6100","126.7300","124.8000"
"2017/01/11","126.0900","18334560.0000","124.3500","126.1200","124.0600"
"2017/01/10","124.3500","17299590.0000","124.8200","125.5000","124.2800"
"2017/01/09","124.9000","22874170.0000","123.5500","125.4300","123.0400"
"2017/01/06","123.4100","28525570.0000","120.9800","123.8800","120.0300"
"2017/01/05","120.6700","19459380.0000","118.8600","120.9500","118.3209"
"2017/01/04","118.6900","19594560.0000","117.5500","119.6600","117.2900"
"2017/01/03","116.8600","20635600.0000","116.0300","117.8400","115.5100"
"2016/12/30","115.0500","18668290.0000","116.5950","116.8300","114.7739"
"2016/12/29","116.3500","9925082.0000","117.0000","117.5310","116.0600"
"2016/12/28","116.9200","11985740.0000","118.1900","118.2500","116.6500"
"2016/12/27","118.0100","12034590.0000","116.9600","118.6800","116.8640"
"2016/12/23","117.2700","10885030.0000","117.0000","117.5600","116.3000"
"2016/12/22","117.4000","16226770.0000","118.8600","118.9900","116.9300"
"2016/12/21","119.0400","10747610.0000","118.9200","119.2000","118.4800"
"2016/12/20","119.0900","13673570.0000","119.5000","119.7700","118.8000"
"2016/12/19","119.2400","15871360.0000","119.8500","120.3600","118.5100"
"2016/12/16","119.8700","25316220.0000","120.9000","121.5000","119.2700"
"2016/12/15","120.5700","20113550.0000","120.0800","122.5000","119.6300"
"2016/12/14","120.2100","25890630.0000","120.0000","121.6900","118.8500"
"2016/12/13","120.3100","29568990.0000","117.8600","121.5200","117.6100"
"2016/12/12","117.7700","17782470.0000","119.2200","119.2400","117.6500"
"2016/12/09","119.6800","17452710.0000","119.2200","119.9400","118.9500"
"2016/12/08","118.9100","22427310.0000","117.9800","119.5000","117.6400"
"2016/12/07","117.9500","21891800.0000","117.0000","117.9500","116.5700"
"2016/12/06","117.3100","19089060.0000","117.6900","117.7950","116.3300"
"2016/12/05","117.4300","20123920.0000","115.9500","117.5700","115.0700"
"2016/12/02","115.4000","25050450.0000","115.1100","116.4800","114.3000"
"2016/12/01","115.1000","43231480.0000","118.3800","118.4500","114.0000"
"2016/11/30","118.4200","30135230.0000","120.3200","121.7900","117.9500"
"2016/11/29","120.8700","18871130.0000","120.5700","122.1000","120.4000"
"2016/11/28","120.4100","18081770.0000","120.1200","121.6900","119.8200"
"2016/11/25","120.3800","8658605.0000","121.0100","121.1400","120.0700"
"2016/11/23","120.8400","15646580.0000","121.2300","121.3100","119.9400"
"2016/11/22","121.4700","26006340.0000","122.4000","122.9800","120.9000"
"2016/11/21","121.7700","35359460.0000","118.2000","121.9500","117.8000"
"2016/11/18","117.0200","22768330.0000","118.3900","119.1300","116.8400"
"2016/11/17","117.7900","18570820.0000","116.8100","117.7900","116.0100"
"2016/11/16","116.3400","32358800.0000","114.4800","117.8800","114.2100"
"2016/11/15","117.2000","34629110.0000","116.7300","118.4900","115.8300"
"2016/11/14","115.0800","51315610.0000","119.1256","119.1256","113.5535"
"2016/11/11","119.0200","32814370.0000","119.5300","120.7000","118.1500"
"2016/11/10","120.8000","67808300.0000","123.9300","124.1800","115.2700"
"2016/11/09","123.1800","31883790.0000","121.5000","123.8100","120.5100"
"2016/11/08","124.2200","19391790.0000","122.0300","124.6100","121.5400"
"2016/11/07","122.1500","22957100.0000","122.8300","123.2089","121.3500"
"2016/11/04","120.7500","30468330.0000","119.5900","121.9300","119.2500"
"2016/11/03","120.0000","63660540.0000","122.0000","123.2800","119.5000"
"2016/11/02","127.1700","43895660.0000","130.2300","130.2300","126.2800"
"2016/11/01","129.5000","21974210.0000","131.4100","131.9400","128.6500"
"2016/10/31","130.9900","15649280.0000","132.0100","132.1200","130.8835"
"2016/10/28","131.2900","24500920.0000","130.5000","132.9700","129.9300"
"2016/10/27","129.6900","16628680.0000","131.7400","131.8000","129.2700"
"2016/10/26","131.0400","13066210.0000","131.6400","132.2600","130.9350"
"2016/10/25","132.2900","13307700.0000","133.5000","133.5000","132.2200"
"2016/10/24","133.2800","17420290.0000","132.7200","133.4050","132.1500"
"2016/10/21","132.0700","18983740.0000","129.7800","132.1300","129.7000"
"2016/10/20","130.0000","13148980.0000","130.0700","130.6600","129.5000"
"2016/10/19","130.1100","16723000.0000","128.7400","130.4700","128.6000"
"2016/10/18","128.5700","13487280.0000","128.6800","129.3900","128.0100"
"2016/10/17","127.5400","11317650.0000","128.2000","128.4700","127.3200"
"2016/10/14","127.8800","13335970.0000","128.4900","128.9500","127.5800"
"2016/10/13","127.8200","17106910.0000","128.2100","128.2500","126.7500"
"2016/10/12","129.0500","11043240.0000","129.0100","129.6600","128.4600"
"2016/10/11","128.8800","17508530.0000","130.2300","130.6400","128.2300"
"2016/10/10","130.2400","15113560.0000","129.6800","130.7000","129.2000"
"2016/10/07","128.9900","12800360.0000","129.0400","129.2500","128.3300"
"2016/10/06","128.7400","11673340.0000","128.4300","129.0600","128.0800"
"2016/10/05","128.4700","12354920.0000","128.2500","128.8000","127.8300"
