,figi,figi_ticker,publication_date,summary,ticker,title,url
91,BBG000C3JBN9,CSCO:UW,2016-12-12 20:48:00 +0000,"[at Barrons.com] - Amidst lots of analysis today of the International Trade Commission ruling that Arista Networks (ANET) infringed two patents alleged by Cisco Systems (CSCO), one analyst takes a deeper look into the looming battle between the two in network routing. Wells Fargo’s Jess Lubert, who has an Outperform rating on Arista stock, and a $106 to $114 “valuation range,” thinks that routing is “the next big driver of potential upside” for the company and its shares. The Street consensus for Arista doesn’t yet reflect what Lubert thinks may be $100 million in routing sales in 2017, and $300 million annually by 2019, thanks to ""superior performance and cost of the company’s R-series lineup."" One key is that Arista can leverage its existing base of customers for its network switches to also sell routers, he concludes: The cloud vertical may currently accounts for roughly ~17% of total industry routing sales or a little more than $1.6B worth of revenue in 2016.",CSCO,"Arista's Routing to Steal Cisco, Juniper Share, Says Wells",http://blogs.barrons.com/techtraderdaily/2016/12/12/aristas-routing-to-steal-cisco-juniper-share-says-wells/?mod=yahoobarrons&ru=yahoo
92,BBG000C3JBN9,CSCO:UW,2016-12-12 19:43:35 +0000,"As Price Evens Out, Cisco Gets A Downgrade From Vetr",CSCO,"As Price Evens Out, Cisco Gets A Downgrade From Vetr",http://finance.yahoo.com/news/price-evens-cisco-gets-downgrade-194335243.html
93,BBG000C3JBN9,CSCO:UW,2016-12-12 17:31:00 +0000,How the Cloud Is Eating IBM and HP Enterprise's Lunch,CSCO,How the Cloud Is Eating IBM and HP Enterprise's Lunch,https://www.thestreet.com/story/13922367/1/how-the-cloud-is-eating-ibm-and-hp-enterprises-lunch.html?puc=yahoo&cm_ven=YAHOO
94,BBG000C3JBN9,CSCO:UW,2016-12-12 17:16:39 +0000,[$$] Top Tech Leaders to Meet With Trump,CSCO,[$$] Top Tech Leaders to Meet With Trump,http://www.wsj.com/articles/top-tech-leaders-to-meet-with-trump-1481501472?mod=yahoo_hs
95,BBG000C3JBN9,CSCO:UW,2016-12-12 17:02:00 +0000,[at Investopedia] - Cisco secures a win against rival Arista amid a larger copyright and patent infringement case.,CSCO,Trade Ruling: Arista Infringed on Cisco Patents,http://www.investopedia.com/news/trade-ruling-arista-infringed-cisco-patents/?partner=YahooSA
96,BBG000C3JBN9,CSCO:UW,2016-12-12 17:01:13 +0000,Could Acacia Communications ACIA the hottest IPO of 2016 still offer significant upside in 2017 Many investment banks believe so And I think the odds are pretty good too That s why I m accumulating shares of Acacia over 45 off of its all time highs above 125 This maker of,CSCO,Bull of the Day: Acacia Communications (ACIA),http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/6sVdqFvWfes/bull-of-the-day-acacia-communications-acia-cm720235
97,BBG000C3JBN9,CSCO:UW,2016-12-12 16:59:23 +0000,Image source Getty Images The Internet of Things IoT describes the growing network of connected sensors and devices and the increasing connectivity is already having significant impacts at the consumer enterprise and public levels Research firm Gartner expects the number,CSCO,Our 3 Favorite Stocks to Invest in the Internet of Things,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/d2FC7oK-pYE/our-3-favorite-stocks-to-invest-in-the-internet-of-things-cm720144
98,BBG000C3JBN9,CSCO:UW,2016-12-12 16:58:29 +0000,Shareholders of Cisco Systems Inc Symbol CSCO looking to boost their income beyond the stock s 3 5 annualized dividend yield can sell the January 2019 covered call at the 35 strike and collect the premium based on the 1 54 bid which annualizes to an additional 2 4 rate of return,CSCO,How To YieldBoost Cisco Systems To 5.9% Using Options,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/axKlmkyd9HY/how-to-yieldboost-cisco-systems-to-59-using-options-cm720226
99,BBG000C3JBN9,CSCO:UW,2016-12-12 16:39:00 +0000,"[at Barrons.com] - Shares of networking equipment vendor Arista Networks (ANET) are down $2.27, or 2.4%, at $92.14, after the International Trade Commission late Friday issued a ruling the company infringed two of six patents alleged against it by Cisco Systems (CSCO) in a string of lawsuits dating back to 2014. Cisco shares are up 12 cents, or 0.4%, at $30.18, but several Street analysts see some victory for Arista in having the bulk of the patents in this instance not found to be infringed by the company. Arista late Friday issued a statement saying that the company was ""pleased that she found in our favor on four of the asserted patents,” and that it intends to request a review of the findings, with a final ruling perhaps by April.",CSCO,Arista Victory Seen by Street in Cisco Patent Win,http://blogs.barrons.com/techtraderdaily/2016/12/12/aristas-victory-seen-by-street-in-cisco-patent-win/?mod=yahoobarrons&ru=yahoo
0,BBG000C3JBN9,CSCO:UW,2016-12-12 16:10:07 +0000,Meet the Preliminary 2017 Dogs of the Dow for Massive Dividends,CSCO,Meet the Preliminary 2017 Dogs of the Dow for Massive Dividends,http://247wallst.com/investing/2016/12/12/meet-the-preliminary-2017-dogs-of-the-dow-for-massive-dividends/
1,BBG000C3JBN9,CSCO:UW,2016-12-12 15:25:00 +0000,Our 3 Favorite Stocks to Invest in the Internet of Things,CSCO,Our 3 Favorite Stocks to Invest in the Internet of Things,http://www.fool.com/investing/2016/12/12/our-3-favorite-stocks-to-invest-in-the-internet-of.aspx?source=yahoo-2-news&utm_campaign=article&utm_medium=feed&utm_source=yahoo-2-news
2,BBG000C3JBN9,CSCO:UW,2016-12-12 15:15:00 +0000,"Tech Today: AMD's Latest Praise, Cisco's Latest Win, Facebook's Latest Goof",CSCO,"Tech Today: AMD's Latest Praise, Cisco's Latest Win, Facebook's Latest Goof",http://blogs.barrons.com/techtraderdaily/2016/12/12/tech-today-amds-latest-praise-ciscos-latest-win-facebooks-latest-goof/?mod=yahoobarrons&ru=yahoo
3,BBG000C3JBN9,CSCO:UW,2016-12-12 15:00:16 +0000,Per a Reuters report on Friday Cisco Systems Inc CSCO won another patent ruling against Arista Networks ANET regarding the use of Cisco s network device technology in Arista s Ethernet switches without the former s permission As per Mary Joan McNamara the judge who presided over the,CSCO,Cisco (CSCO) Wins Patent Infringement Lawsuit Against Arista,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kalFvbMi9M0/cisco-csco-wins-patent-infringement-lawsuit-against-arista-cm720090
4,BBG000C3JBN9,CSCO:UW,2016-12-12 14:53:03 +0000,"[at Investopedia] - Cisco (NASDAQ: CSCO) recently convinced International Trade Commission (ITC) Administrative Law Judge Mary Joan McNamara that Arista Networks' (NYSE: ANET) technology infringed on two of its patents. However, ...",CSCO,Cisco Wins Another Ruling Against Arista Networks,http://www.investopedia.com/stock-analysis/121216/cisco-wins-another-ruling-against-arista-networks-anet-csco.aspx?partner=YahooSA
5,BBG000C3JBN9,CSCO:UW,2016-12-12 13:25:01 +0000,Cisco (CSCO) Wins Patent Infringement Lawsuit Against Arista,CSCO,Cisco (CSCO) Wins Patent Infringement Lawsuit Against Arista,http://finance.yahoo.com/news/cisco-csco-wins-patent-infringement-132501823.html
6,BBG000C3JBN9,CSCO:UW,2016-12-12 12:01:00 +0000,Cisco Systems Annual Meeting Of Shareholders At 1:00 PM ET,CSCO,Cisco Systems Annual Meeting Of Shareholders At 1:00 PM ET,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/jNoMvvzsOJo/cisco-systems-annual-meeting-of-shareholders-at-100-pm-et-20161212-00649
7,BBG000C3JBN9,CSCO:UW,2016-12-12 12:01:00 +0000,Cisco Systems Annual Meeting Of Shareholders At 1:00 PM ET,CSCO,Cisco Systems Annual Meeting Of Shareholders At 1:00 PM ET,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/4hDwV4jv7jY/cisco-systems-annual-meeting-of-shareholders-at-100-pm-et-20161212-00648
8,BBG000C3JBN9,CSCO:UW,2016-12-12 04:20:12 +0000,[$$] Top Tech Leaders to Meet With Trump,CSCO,[$$] Top Tech Leaders to Meet With Trump,http://www.wsj.com/articles/top-tech-leaders-to-meet-with-trump-1481501472?ru=yahoo?mod=yahoo_itp
